lemma	C	V	lof_lemma
azbeszt	4.99991133073328	4.471638793363569	4.69989368346406
bagett	4.66814498514948	5.644386264699545	5.199601393608879
bagger	0.7621400520468967	3.5263605246161616	1.9252908618525775
bakter	0.09884583463663264	-2.2662174488231708	-0.3089103730716348
balek	-1.9518176161860061	-5.91052560460263	-3.138951104334203
balett	1.423597880032469	2.037337093404538	1.6348028891172504
bankett	2.5338587703915056	5.8959043360484475	3.880608779247988
barchesz	1.519825753744413	0.8472978603872037	1.4403615823901663
barter	2.3555074944483883	4.394449154672439	2.508184334657346
bojler	2.4378865716348734	3.802823713463154	2.8739823770832476
borcet	1.6094379124341003	1.9459101490553132	2.3978952727983707
bordzsem	1.3862943611198906	0.6931471805599453	1.6094379124341003
bovden	2.6936614636501104	5.780743515792329	3.633819676930909
boylen	0.6931471805599453	NA	0.6931471805599453
brojler	2.1972245773362196	5.476463551931511	4.852030263919617
bróker	4.8689320747222204	6.565264970035361	5.685571683165144
brúder	0.8472978603872037	1.0986122886681098	1.0986122886681098
bukfenc	6.787844982309579	6.6052979209482015	6.867453982208612
bunker	1.515519279210213	3.896378883728578	1.9484935229674007
burleszk	5.699328124306821	5.000584958242754	5.697093486505405
buszcser	0.6931471805599453	NA	0.6931471805599453
bóher	1.3862943611198906	3.4339872044851463	3.5263605246161616
charter	4.77631844218392	6.680854678790215	6.18877733838767
codec	3.7495040759303713	5.594711379601839	5.173320876373351
collen	2.0794415416798357	NA	2.0794415416798357
docens	6.899723107284872	8.444479119127433	8.35900102242926
dodzsem	4.639571612705423	5.4638318050256105	5.0891383555842
dolmen	3.9889840465642745	5.666426688112432	5.834810737062605
doppler	3.80029304148484	3.58351893845611	3.906292330719161
doyen	5.800774740643511	4.59511985013459	5.833184984794265
drukker	4.053956501316812	7.209795319181866	6.493591734645053
dublett	3.5553480614894135	4.204692619390966	4.61512051684126
duett	5.985949366419872	6.696328531335149	6.316992762049877
dzsungel	3.5125558100797925	6.300418754835302	3.6545518883051837
dzsóker	3.970291913552122	4.276666119016055	4.820281565605037
dózer	0.7981259439703409	6.210600077024653	1.7943007666567274
facet	1.791759469228055	3.871201010907891	3.970291913552122
facser	1.0986122886681098	NA	1.0986122886681098
fageszt	0.6931471805599453	NA	0.6931471805599453
faglett	3.044522437723423	0.6931471805599453	3.091042453358316
falcser	0.6931471805599453	NA	0.6931471805599453
falen	0.6931471805599453	NA	0.6931471805599453
falzett	1.6299164437776412	2.803360380906535	1.8955562629096985
farmer	0.5176544282289877	1.910095861729508	1.0116009116784799
fater	-2.806053878534328	-7.708410667257367	-3.339284845324914
flanel	0.8145080375642129	0.4795730802618863	0.7711087220296572
flaszter	0.40375424370453494	6.448889394146858	1.5546296759391054
flóbert	2.5649493574615367	1.6486586255873816	2.1400661634962708
fotel	0.5924800418833422	1.6784777311758197	0.7683231162212678
fráter	2.736799614388196	4.8342958089798485	3.3483991960951847
fuser	1.466337068793427	0.6931471805599453	1.2039728043259361
gatyesz	-0.6418538861723948	-1.6094379124341003	-0.832909122935104
gazcser	0.6931471805599453	1.3862943611198906	1.6094379124341003
groteszk	-1.791759469228055	-0.6931471805599453	-1.9459101490553135
gukker	0.5212969236332861	3.091042453358316	1.0258529343856813
gólem	5.673323267171493	7.02108396428914	6.745824411835916
habeb	-0.6931471805599453	-1.8718021769015913	-1.9459101490553135
hajnesz	-0.6931471805599453	NA	-0.6931471805599453
haleb	3.1780538303479458	2.3978952727983707	3.5263605246161616
halef	1.2809338454620642	-0.325422400434628	0.31015492830383945
halpert	1.0986122886681098	1.0986122886681098	1.6094379124341003
hardver	5.159354583926307	6.634215160287111	5.655423841295579
haver	-4.188233277679048	-5.408230318196951	-4.762201774828939
hosztesz	4.060443010546419	6.7357800142423265	6.80128303447162
hotel	2.6635525875315533	4.441400118929477	2.900502174565693
jampec	0.4567584024957149	0.4214017003709771	0.4269713133291279
junker	3.367295829986474	1.6971434928532059	2.1218008155189776
kadet	0.6466271649250525	1.183278213083103	0.96418201957857
kampec	1.5260563034950492	-1.4403615823901665	-0.30368241379822203
kancser	-0.6931471805599453	NA	-0.6931471805599453
karcer	0.9108706644048158	1.0986122886681098	0.9323768696257794
karlen	0.6931471805599453	0.6931471805599453	1.0986122886681098
kartell	2.6093289343708177	6.708999415724757	3.594220470685924
karter	0.6436989051459641	2.833213344056216	0.714840005171205
kasper	2.9267394020670396	2.70805020110221	3.1498829533812494
klapec	0.47000362924573563	-1.6094379124341003	-0.6418538861723948
klaszter	4.320631316641844	7.647649722081714	5.551069507263692
klozet	-0.7753852787969174	-0.680877087968131	-0.737832669905245
koffer	0.9572673717297013	1.8432177665035305	1.1529154981400707
kolesz	-2.192770226986839	-2.3642786619993856	-2.208240179257725
komplett	-1.0986122886681098	-0.6931471805599453	-1.0986122886681098
komplex	-1.9459101490553135	-2.3025850929940455	-2.772588722239781
koncert	8.144783239155993	9.866902891354712	8.908821954459079
konfekt	2.0794415416798357	1.9459101490553132	2.6390573296152584
konszern	6.944328259212977	7.914983005848394	7.450951282778578
konzerv	5.985697952213645	5.317487282655757	5.455441488514633
kopek	1.6422277352570913	1.9459101490553132	1.8412395264914247
korcet	0.6931471805599453	NA	0.6931471805599453
korner	2.3005421913642454	4.882801922586371	2.5378991799285107
kornett	3.332204510175204	1.6094379124341003	2.0794415416798357
korrekt	-0.8109302162163288	2.5649493574615367	0.5753641449035618
kortes	3.784189633918261	6.016157159698354	6.115892125483034
korvett	3.58351893845611	6.095824562432225	4.825108606353353
kotlett	3.044522437723423	3.4965075614664802	3.970291913552122
krapek	-1.5595660823939272	-4.182050142641207	-2.3910537409816537
krokett	2.691619659706114	5.440250862436703	3.49713867540349
kráter	3.862402951540937	8.497398564088058	4.637373326482726
kukker	1.0672617587840336	4.382026634673881	1.4748477584613358
kupec	2.7200985396183848	2.065455299705096	2.2063155490374715
kábel	4.148035772959651	6.264341770150708	4.961281141127802
káder	1.9838709112945363	6.379274719977426	4.294586349249626
kárper	0.6931471805599453	NA	0.6931471805599453
kódex	7.001005923130195	9.523470868881551	7.787589473845677
kókler	3.1317063326122128	5.353042266237283	4.302261666205019
kórlen	0.6931471805599453	NA	0.6931471805599453
kóter	0.026550232094120964	3.295836866004329	0.13409177369830735
lapper	1.6094379124341003	1.0986122886681098	1.9459101490553132
lasztex	2.0794415416798357	1.6094379124341003	2.302585092994046
lateb	-1.3862943611198906	0.6931471805599453	-0.2231435513142097
latens	2.6390573296152584	5.44673737166631	5.501258210544727
latex	2.688181997885485	5.132262782217954	3.042252289188884
lornyett	0.4054651081081644	2.995732273553991	2.3978952727983707
luesz	2.0149030205422647	2.1972245773362196	2.4423470353692043
lumen	5.978885764901122	6.320768294250582	6.363028103540465
lumpen	3.7954891891721947	5.786897381366708	5.332718793265369
láger	2.1626958697917535	6.208590026096629	2.5047506429862727
lóden	1.6314168191528755	1.9459101490553132	1.754019141245208
macesz	-0.2906895935157362	-0.13353139262452263	-0.28204825473352496
macher	1.1631508098056809	0.8602012652231116	1.0055218656020977
maglen	1.0986122886681098	NA	1.0986122886681098
majszter	0.8472978603872037	2.772588722239781	1.992430164690206
makett	3.23704312882365	4.688858290008801	3.937307575865855
malter	-1.2280333455976216	1.1314021114911006	-1.097116402076527
marlen	2.0794415416798357	NA	2.0794415416798357
maszek	-2.876746591931847	-5.166213525914699	-3.2480749795604633
matek	-3.7808768256219976	-6.48402436206708	-4.190529537052142
mater	2.1830900664013146	5.534969267887039	2.722380026657035
modell	7.313196207177935	8.695897101298273	7.7242438524436325
modem	5.536175652591627	5.591859892521211	5.581238121898107
modern	-1.3862943611198906	2.785011242238338	2.64524929986318
moheb	1.6094379124341003	NA	1.6094379124341003
moped	4.221236314076725	6.595325036841162	5.172873482435533
motel	1.448917784321362	3.3194507141126337	1.6932077954995592
muter	-1.754019141245208	-2.4957175658922157	-1.979996611974125
mutex	1.9459101490553132	4.0943445622221	4.189654742026425
mutter	-0.372239460479844	-2.384823191231018	-0.725040544335899
mágnes	6.541554589365868	9.03097444300786	7.281448228089964
napper	1.3862943611198906	2.0794415416798357	2.3978952727983707
nonszensz	6.1107279679348	6.444131256700441	6.492239835020471
notesz	1.0457562785146342	2.392012902895304	1.7980986346717907
ofszet	5.1298987149230735	4.174387269895637	5.4510384535657
okker	1.9844438130575563	3.8918202981106265	2.342263576812222
oklen	1.6094379124341003	0.6931471805599453	1.791759469228055
omlett	5.319519574198639	6.3668999087644504	5.929057086979365
paccer	0.6931471805599453	1.791759469228055	1.9459101490553132
pajesz	-1.1451323043030026	-4.740574822994295	-2.8977518651937872
pakett	2.178532444324067	3.20930637385205	2.664087077681094
pamflet	4.30406509320417	6.119197913617533	5.009422437671047
panel	0.857604645406663	2.493167079433211	1.5721934121838155
papper	-0.5108256237659907	2.0794415416798357	0.26236426446749106
parkett	2.5706948487047865	4.1728476237100445	3.2661667383819917
parszek	2.517696472610991	4.007333185232471	2.8791984572980396
partner	5.2378429272520926	8.843965474000656	7.239934117617421
pasztell	2.6888188391743224	6.049733455231958	3.198913184770656
plakett	3.4488922554701724	5.229126062676269	4.403083144065321
pollen	6.454973919960541	8.007533554290216	7.175585347918753
ponteb	0.9162907318741551	NA	0.9162907318741551
popper	3.6041382256588457	5.181783550292085	3.9415818076696905
poreb	0.6931471805599453	NA	0.6931471805599453
porjen	0.6931471805599453	NA	0.6931471805599453
poszter	4.77095796053406	6.973032163825761	5.9285507216974125
prakker	0	1.2992829841302609	0.21706450523782758
projekt	7.714348285910803	8.879039186837417	8.196092920060405
puffer	2.565263279925267	3.7692179760182944	2.7707351535904583
pátens	5.768320995793772	4.598481197837295	5.326256735237278
páter	2.8179166786807426	4.907740870933623	3.332204510175204
póker	3.9558581772855606	6.403574197934815	4.092232629018957
púder	3.0532378493484766	5.470167623474696	3.418772526483663
rakett	2.4849066497880004	1.6094379124341003	2.159484249353372
ranett	0.6931471805599453	1.3862943611198906	1.6094379124341003
rapes	1.3862943611198906	1.3862943611198906	1.9459101490553132
raszter	2.8307593550946493	6.0330862217988015	3.2435684374585723
rocker	4.757175709468962	7.806696372521179	6.184941598073722
roller	2.3163167473658266	3.7220724214697003	2.7228944332564438
romper	2.70805020110221	2.9444389791664403	3.4965075614664802
rubel	3.4236328885441076	4.855928904335275	3.4830333522730244
rulett	3.5703148631227326	5.6864102249317305	4.308340712281401
ráccser	0.6931471805599453	NA	0.6931471805599453
saheb	1.0986122886681098	NA	1.0986122886681098
sakter	0.4054651081081644	2.1507045617013265	1.574802415771344
saller	0.46871413841586385	8.246958032568177	3.7118103951778534
samesz	0.03174869831458027	-1.0577023859239836	-0.9424018758778409
shopper	3.1135153092103742	4.976733742420574	4.548599834499697
skanzen	2.397128275554831	5.872117789475416	2.4351973886795513
sláger	5.66608060747219	8.897887350532482	7.314457716520518
sparherd	1.7635885922613586	4.2626798770413155	2.456735772821304
srapnel	2.5220856530297544	5.209486152841421	3.367295829986474
stopper	2.0100866355542837	5.831882477283517	2.196723951543536
stukker	0.8732733467904643	5.420534999272286	1.4744016286301573
subler	1.6625477377480486	2.0794415416798357	1.7764919970972666
sumer	0.10008345855698263	-0.6093772974944865	-0.36423751634041013
suszter	1.0384583658483626	4.418840607796598	1.4300171721337223
szkander	0.9718605830289658	1.9459101490553132	0.9879467207805901
szlogen	6.995726340254995	7.412613130968336	7.107267961548752
szoftver	7.642735707279285	8.401067115576755	8.06622326647017
szolvens	2.0794415416798357	0.6931471805599453	2.1972245773362196
szonett	4.69350421729649	6.270610288537476	5.367310238034988
szovjet	5.427150238391005	8.939154814052864	8.17197616365343
szubrett	5.638354669333745	4.290459441148391	5.3612921657094255
szuper	-3.417726683613366	-0.1823215567939546	-1.5841201044498106
sábesz	2.3353749158170367	1.2992829841302609	2.236833715431265
sóder	1.186672856666378	1.6959115104379272	1.242010176719106
sólet	2.357921925389792	3.0985896589936988	2.6863607373779557
tandem	4.138361447638875	5.8916442118257715	4.544813385447194
tangens	3.6375861597263857	5.241747015059643	5.420534999272286
tapper	2.2512917986064953	1.252762968495368	2.120263536200091
taszter	2.4849066497880004	3.1354942159291497	3.5263605246161616
tatjen	1.3862943611198906	NA	1.3862943611198906
token	5.376049715088389	7.179688994465779	6.328191853237018
topper	3.414442608412176	4.6913478822291435	3.9512437185814275
totem	4.8494227005125365	7.355001921105257	6.47491897407784
transzfer	4.9617099856601135	8.993303139093733	5.887079531471234
trapper	2.583997552432231	4.564348191467836	3.6109179126442243
traverz	2.4171884757330493	4.219507705176107	3.225909851525581
tróger	1.6232949470955267	2.650272400435399	2.244691114575143
tábesz	0.6931471805599453	1.6094379124341003	1.791759469228055
tájpej	1.791759469228055	NA	1.791759469228055
valcer	2.0571357841655376	4.48863636973214	2.5649493574615367
valdens	1.791759469228055	5.877735781779639	5.8916442118257715
vamzer	1.5841201044498106	3.1498829533812494	2.379546134130174
vátesz	4.248495242049359	6.395261598115449	5.910796644040527
zacsek	-1.3862943611198906	-1.7346010553881064	-1.529395204760564
zsakett	1.4459541975262264	2.970414465569701	1.8063582686492077
zsorzsett	3.5553480614894135	2.5257286443082556	3.3843902633457743
zsáner	5.203717460755184	7.339862318036722	5.789501350058739
ágens	5.412389822807884	7.561295004947303	6.789956618203682
ájer	1.1394342831883648	2.8903717578961645	1.4321038971511848
ámen	4.836281906951478	5.117993812416755	5.342334251964811
ómen	5.538645742616348	5.3706380281276624	5.785874363374673
